date,temperature,humidity,luminosity
2019-12-11 14:22:40.236,AA01,"21.5,31.1",305
2019-12-11 14:22:42.508,AA01,"21.5,31.1",305
2019-12-11 14:22:44.785,AA01,"21.5,31.2",302
2019-12-11 14:22:47.063,AA01,"21.5,31.2",302
2019-12-11 14:22:49.336,AA01,"21.5,31.2",302
2019-12-11 14:22:51.613,AA01,"21.5,31.1",300
2019-12-11 14:22:53.891,AA01,"21.5,31.1",300
2019-12-11 14:22:56.164,AA01,"21.5,31.1",300
2019-12-11 14:22:58.441,AA01,"21.5,31.1",300
2019-12-11 14:33:41.173,AA01,"21.6,30.8",277
2019-12-11 14:33:43.447,AA01,"21.6,30.8",275
2019-12-11 14:33:45.723,AA01,"21.5,30.8",275
2019-12-11 14:33:48.001,AA01,"21.6,30.8",277
2019-12-11 14:33:50.275,AA01,"21.6,30.8",277
2019-12-11 14:33:52.551,AA01,"21.6,30.8",277
2019-12-11 14:33:54.829,AA01,"21.6,30.7",277
2019-12-11 14:33:57.102,AA01,"21.6,30.7",277
2019-12-11 14:33:59.379,AA01,"21.6,30.6",277
2019-12-11 14:34:01.653,AA01,"21.6,30.6",280
2019-12-11 14:34:03.930,AA01,"21.5,30.5",277
2019-12-11 14:34:06.207,AA01,"21.6,30.5",277
2019-12-11 14:34:08.480,AA01,"21.6,30.5",277
2019-12-11 14:34:10.758,AA01,"21.6,30.4",277
2019-12-11 14:34:13.031,AA01,"21.5,30.4",280
2019-12-11 14:34:15.309,AA01,"21.5,30.4",280
2019-12-11 14:34:17.586,AA01,"21.6,30.5",282
2019-12-11 14:34:19.859,AA01,"21.6,30.5",282
2019-12-11 14:34:22.137,AA01,"21.6,30.6",282
2019-12-11 14:34:24.410,AA01,"21.6,30.6",284
2019-12-11 14:34:26.687,AA01,"21.6,30.7",284
2019-12-11 14:34:28.964,AA01,"21.6,30.7",286
2019-12-11 14:34:31.238,AA01,"21.6,30.7",286
2019-12-11 14:34:33.515,AA01,"21.5,30.7",286
2019-12-11 14:34:35.793,AA01,"21.5,30.8",288
2019-12-11 14:34:38.066,AA01,"21.6,30.9",282
2019-12-11 14:34:40.342,AA01,"21.5,30.9",282
2019-12-11 14:34:42.616,AA01,"21.5,31.0",282
2019-12-11 14:34:44.893,AA01,"21.5,31.1",282
2019-12-11 14:34:47.172,AA01,"21.6,31.2",284
2019-12-11 14:34:49.444,AA01,"21.6,31.2",284
2019-12-11 14:34:51.722,AA01,"21.5,31.3",284
2019-12-11 14:34:53.998,AA01,"21.6,31.4",284
2019-12-11 14:34:56.272,AA01,"21.6,31.4",284
2019-12-11 14:34:58.549,AA01,"21.5,31.4",286
2019-12-11 14:35:00.823,AA01,"21.6,31.4",282
2019-12-11 14:35:03.100,AA01,"21.5,31.5",282
2019-12-11 14:35:05.378,AA01,"21.5,31.5",282
2019-12-11 14:35:07.650,AA01,"21.5,31.6",284
2019-12-11 14:35:09.928,AA01,"21.5,31.6",284
2019-12-11 14:35:12.205,AA01,"21.5,31.6",284
2019-12-11 14:35:14.479,AA01,"21.5,31.5",284
2019-12-11 14:36:52.835,21.5,31.5,293
2019-12-11 14:36:52.843,21.5,31.6,280
2019-12-11 14:36:52.844,21.5,31.5,280
2019-12-11 14:36:52.844,21.5,31.5,282
2019-12-11 14:36:52.845,21.5,31.5,291
2019-12-11 14:36:52.845,21.5,31.5,293
2019-12-11 14:36:54.718,21.5,31.4,295
2019-12-11 14:36:56.995,21.5,31.4,291
2019-12-11 14:36:59.269,21.5,31.3,291
2019-12-11 14:37:01.545,21.5,31.3,291
2019-12-11 14:37:03.819,21.5,31.3,291
2019-12-11 14:37:06.096,21.5,31.3,288
2019-12-11 14:37:08.374,21.5,31.2,293
2019-12-11 14:37:10.647,21.5,31.2,286
2019-12-11 14:37:12.924,21.5,31.2,288
2019-12-11 14:37:15.201,21.5,31.7,269
2019-12-11 14:37:17.475,21.6,32.1,226
2019-12-11 14:37:19.753,21.5,32.2,254
2019-12-11 14:37:22.025,21.5,32.2,252
2019-12-11 14:37:24.302,21.5,32.1,252
2019-12-11 14:37:26.581,21.6,32.0,250
2019-12-11 14:37:28.854,21.5,31.8,247
2019-12-11 14:37:31.131,21.6,31.8,288
2019-12-11 14:37:33.408,21.6,31.7,286
2019-12-11 14:37:35.681,21.6,31.6,288
2019-12-11 14:37:37.959,21.6,31.6,286
2019-12-11 14:37:40.232,21.6,31.5,288
2019-12-11 14:37:42.510,21.6,31.5,293
2019-12-11 14:37:44.787,21.6,31.5,291
